reg_id,name,present_days,absent_days,attendance_percentage
22EC001,Poojitha,5,2,71.43
22EC002,Ram,6,1,85.71
22EC003,Sai,5,2,71.43
22EC004,Priya,6,1,85.71
22EC005,Kiran,7,0,100.00
22EC006,Anjali,5,2,71.43
22EC007,Rohit,5,2,71.43
22EC008,Deepika,7,0,100.00
22EC009,Vikram,6,1,85.71
22EC010,Nisha,5,2,71.43
22EC011,Arjun,7,0,100.00
22EC012,Kavya,6,1,85.71
22EC013,Harsha,7,0,100.00
22EC014,Meghana,5,2,71.43
22EC015,Surya,6,1,85.71
22EC016,Sneha,7,0,100.00
22EC017,Ajay,5,2,71.43
22EC018,Keerthi,7,0,100.00
22EC019,Rakesh,5,2,71.43
22EC020,Divya,7,0,100.00
